id,start,end,maxspeed,junction
l_49,n_id98,n_id99,20 mph,None
l_50,n_id100,n_id101,20 mph,None
l_51,n_id102,n_id103,20 mph,None
l_52,n_id104,n_id105,20 mph,None
l_53,n_id106,n_id107,20 mph,None
l_54,n_id108,n_id109,20 mph,None
l_55,n_id110,n_id111,20 mph,None
l_56,n_id112,n_id113,20 mph,None
l_57,n_id114,n_id115,20 mph,None
l_58,n_id116,n_id117,20 mph,None
l_59,n_id118,n_id119,20 mph,None
l_60,n_id120,n_id121,20 mph,None
l_61,n_id122,n_id123,20 mph,None
l_62,n_id124,n_id125,20 mph,None
l_63,n_id126,n_id127,20 mph,None
l_64,n_id128,n_id129,20 mph,None
l_65,n_id130,n_id131,20 mph,None
l_66,n_id132,n_id133,20 mph,None
l_67,n_id134,n_id135,20 mph,None
l_68,n_id136,n_id137,20 mph,None
l_69,n_id138,n_id139,None,None
l_70,n_id140,n_id141,20 mph,None
l_71,n_id142,n_id143,20 mph,None
l_72,n_id144,n_id145,20 mph,None
l_73,n_id146,n_id147,20 mph,None
l_74,n_id148,n_id149,20 mph,None
l_75,n_id150,n_id151,20 mph,None
l_76,n_id152,n_id153,20 mph,None
l_77,n_id154,n_id155,20 mph,None
l_78,n_id156,n_id157,20 mph,None
l_79,n_id158,n_id159,20 mph,None
l_80,n_id160,n_id161,20 mph,None
l_81,n_id162,n_id163,20 mph,None
l_82,n_id164,n_id165,20 mph,None
l_83,n_id166,n_id167,20 mph,None
l_84,n_id168,n_id169,20 mph,None
l_85,n_id170,n_id171,20 mph,None
l_86,n_id172,n_id173,20 mph,None
l_87,n_id174,n_id175,20 mph,None
l_88,n_id176,n_id177,20 mph,None
l_89,n_id178,n_id179,20 mph,None
l_90,n_id180,n_id181,20 mph,None
l_91,n_id182,n_id183,20 mph,None
l_92,n_id184,n_id185,20 mph,None
l_93,n_id186,n_id187,20 mph,None
l_94,n_id188,n_id189,20 mph,None
l_95,n_id190,n_id191,20 mph,None
l_96,n_id192,n_id193,20 mph,None
l_97,n_id194,n_id195,None,None
l_98,n_id196,n_id197,None,None
l_99,n_id198,n_id199,None,None
l_100,n_id200,n_id201,None,None
l_101,n_id202,n_id203,None,None
l_102,n_id204,n_id205,None,None
l_103,n_id206,n_id207,None,None
l_104,n_id208,n_id209,None,None
l_105,n_id210,n_id211,None,None
l_106,n_id212,n_id213,None,None
l_107,n_id214,n_id215,None,None
l_108,n_id216,n_id217,None,None
l_109,n_id218,n_id219,None,None
l_110,n_id220,n_id221,None,None
l_111,n_id222,n_id223,None,None
l_112,n_id224,n_id225,20 mph,None
l_113,n_id226,n_id227,20 mph,None
l_114,n_id228,n_id229,20 mph,None
l_115,n_id230,n_id231,20 mph,None
l_116,n_id232,n_id233,20 mph,None
l_117,n_id234,n_id235,20 mph,None
l_118,n_id236,n_id237,20 mph,None
l_119,n_id238,n_id239,20 mph,None
l_120,n_id240,n_id241,20 mph,None
l_121,n_id242,n_id243,20 mph,None
l_122,n_id244,n_id245,20 mph,None
l_123,n_id246,n_id247,20 mph,None
l_124,n_id248,n_id249,20 mph,None
l_125,n_id250,n_id251,20 mph,None
l_126,n_id252,n_id253,20 mph,None
l_127,n_id254,n_id255,20 mph,None
l_128,n_id256,n_id257,20 mph,None
l_129,n_id258,n_id259,20 mph,None
l_130,n_id260,n_id261,20 mph,None
l_131,n_id262,n_id263,20 mph,None
l_132,n_id264,n_id265,20 mph,None
l_133,n_id266,n_id267,20 mph,None
l_134,n_id268,n_id269,20 mph,None
l_135,n_id270,n_id271,20 mph,None
l_136,n_id272,n_id273,20 mph,None
l_137,n_id274,n_id275,20 mph,None
l_138,n_id276,n_id277,20 mph,None
l_139,n_id278,n_id279,20 mph,None
l_140,n_id280,n_id281,20 mph,None
l_141,n_id282,n_id283,20 mph,None
l_142,n_id284,n_id285,20 mph,None
l_143,n_id286,n_id287,20 mph,None
l_144,n_id288,n_id289,20 mph,None
l_145,n_id290,n_id291,20 mph,None
l_146,n_id292,n_id293,None,None
l_147,n_id294,n_id295,None,None
l_148,n_id296,n_id297,None,None
l_149,n_id298,n_id299,None,None
l_150,n_id300,n_id301,None,None
l_151,n_id302,n_id303,None,None
