id,xpos,ypos,building
b_92,-2.130597333328098,57.177559400933646,detached
b_93,-2.130774666691867,57.17746379988193,detached
b_94,-2.129326940493212,57.17792005698399,detached
b_95,-2.1300783758846915,57.17752059533785,detached
b_96,-2.129786099999999,57.17754775,detached
b_97,-2.129580531509164,57.17754463856616,detached
b_98,-2.129360310402969,57.17760481973058,detached
b_99,-2.1295493294865224,57.17779045448966,detached
b_100,-2.1297973402691865,57.177792573873575,detached
b_101,-2.1301048247456427,57.17769845071524,detached
b_102,-2.1300379291757463,57.17781273917306,detached
b_103,-2.1294057243017357,57.17801735318171,detached
b_104,-2.129391324182599,57.178118503285845,detached
b_105,-2.12904356138177,57.178120450431884,detached
b_106,-2.128869459759233,57.17812356980722,detached
b_107,-2.1289606826952006,57.17842633000904,detached
b_108,-2.129159103975105,57.17837751350326,detached
b_109,-2.1304677031967607,57.17805452087734,detached
b_112,-2.132078127617483,57.17814935985601,detached
b_113,-2.1294970028668554,57.17833154531782,detached
b_114,-2.1296719039954106,57.17833459626838,detached
b_115,-2.129839196450879,57.178341776993186,detached
b_116,-2.1300351360075656,57.178339628890036,detached
b_117,-2.1302681651729425,57.178338979168686,detached
b_118,-2.1304540699702588,57.17836515932109,detached
b_119,-2.130680838640739,57.17838292712555,detached
b_120,-2.1308868240947367,57.178389354440306,detached
b_121,-2.131062646309862,57.17839258428117,detached
b_122,-2.1312688741343924,57.17839400471275,detached
b_123,-2.1314778015503446,57.17841255801576,detached
b_124,-2.13170305,57.17841835000001,detached
b_125,-2.1318722979265505,57.178432782495385,detached
b_126,-2.13209029314603,57.178437172169765,detached
b_127,-2.1354922546590998,57.17902182335825,detached
b_128,-2.1353521998423366,57.178695583347505,detached
b_129,-2.1349905878380464,57.17853481375197,detached
b_130,-2.1351543667863093,57.17860770087634,detached
b_131,-2.133072983420553,57.178032648772636,detached
b_132,-2.1328679688880845,57.177905897681995,detached
b_133,-2.1328228590566307,57.17775932059168,detached
b_134,-2.132864265921862,57.17758809832542,detached
b_135,-2.1331076926365014,57.17751477706685,detached
b_136,-2.1333236108491547,57.17750940664749,detached
b_137,-2.13353215,57.1776071,detached
b_138,-2.1337455150388114,57.177714386412994,detached
b_139,-2.1339081945033325,57.177822017872494,detached
b_140,-2.1341240499999996,57.1778867,detached
b_141,-2.1343657918975527,57.17791796805564,detached
b_142,-2.1345198500000007,57.17795275,detached
b_143,-2.134728439214889,57.17801971901981,detached
b_144,-2.134906928902437,57.17811395340807,detached
b_145,-2.134927565720309,57.17823607538438,detached
b_146,-2.1348245726718913,57.17838702521892,detached
b_147,-2.132915074744244,57.17848059456041,detached
b_148,-2.133221849999999,57.178509649999995,detached
b_149,-2.1334691736158335,57.17852473589398,detached
b_150,-2.1336625929297623,57.178553925549544,detached
b_151,-2.1339168394994807,57.17859562038407,detached
b_152,-2.1341255707667757,57.178626353951095,detached
b_153,-2.1343975,57.178666150000005,detached
b_154,-2.1345853206443923,57.17883210203217,detached
b_155,-2.1347825499999997,57.17885694999999,detached
b_156,-2.1350883200334123,57.17892295479862,detached
b_157,-2.1353002316242495,57.17898559720239,detached
b_160,-2.1323048834000105,57.17949052543985,apartments
b_161,-2.1331703602844825,57.17925073096841,apartments
b_200,-2.128803584881409,57.17762782875429,apartments
b_201,-2.1295447831127374,57.17891763168213,detached
b_208,-2.1298681004866964,57.18081938515611,apartments
b_209,-2.1298831949713106,57.18049795845272,apartments
b_210,-2.1292314,57.1805933,apartments
b_211,-2.128790130287299,57.18064513029839,apartments
b_216,-2.1296991136907857,57.18009167438417,apartments
b_217,-2.12960165,57.180109949999995,apartments
b_218,-2.1293444570971363,57.18015696961952,apartments
b_219,-2.1294482500000003,57.18013825,apartments
b_220,-2.1288170564095195,57.179898719399596,apartments
b_221,-2.1293836,57.17982655,apartments
b_222,-2.1292866,57.17984365,apartments
b_223,-2.1290936000000005,57.180189549999994,detached
b_224,-2.128864160065542,57.17916269209738,apartments
